"performance","targetNo."
0.689296468655899,1
0.709827539009034,2
0.730906104571585,3
0.74596222283055,4
0.759102107856556,5
0.769230769230769,6
0.778811935395565,7
0.688475225841774,8
0.709553791404325,9
0.730358609362168,10
0.745414727621133,11
0.758828360251848,12
0.768957021626061,13
0.778264440186148,14
0.688201478237065,15
0.708458800985491,16
0.729263618943334,17
0.744867232411716,18
0.758554612647139,19
0.768683274021352,20
0.77799069258144,21
0.687653983027648,22
0.708458800985491,23
0.728989871338626,24
0.744319737202299,25
0.758554612647139,26
0.768135778811935,27
0.776895702162606,28
0.687106487818232,29
0.708185053380783,30
0.728716123733917,31
0.744045989597591,32
0.758007117437722,33
0.767588283602519,34
0.776895702162606,35
0.686832740213523,36
0.707637558171366,37
0.728716123733917,38
0.744045989597591,39
0.757459622228306,40
0.767040788393102,41
0.776074459348481,42
0.686011497399398,43
0.706268820147824,44
0.727894880919792,45
0.743224746783466,46
0.756090884204763,47
0.765945797974268,48
0.774979468929647,49
